sale_id,customer_id,product_id,sale_date,quantity,amount,total_amount,sale_year,sale_month,sale_quarter
1,1,1,2023-01-01 00:00:00,1,100,100,2023,1,1
2,2,2,2023-01-01 01:00:00,2,200,400,2023,1,1
3,3,3,2023-01-01 02:00:00,3,150,450,2023,1,1
4,4,4,2023-01-01 03:00:00,1,300,300,2023,1,1
5,5,5,2023-01-01 04:00:00,2,250,500,2023,1,1
6,6,6,2023-01-01 05:00:00,1,100,100,2023,1,1
7,7,7,2023-01-01 06:00:00,2,200,400,2023,1,1
8,8,8,2023-01-01 07:00:00,3,150,450,2023,1,1
9,9,9,2023-01-01 08:00:00,1,300,300,2023,1,1
10,10,10,2023-01-01 09:00:00,2,250,500,2023,1,1
11,11,11,2023-01-01 10:00:00,1,100,100,2023,1,1
12,12,12,2023-01-01 11:00:00,2,200,400,2023,1,1
13,13,13,2023-01-01 12:00:00,3,150,450,2023,1,1
14,14,14,2023-01-01 13:00:00,1,300,300,2023,1,1
15,15,15,2023-01-01 14:00:00,2,250,500,2023,1,1
16,16,16,2023-01-01 15:00:00,1,100,100,2023,1,1
17,17,17,2023-01-01 16:00:00,2,200,400,2023,1,1
18,18,18,2023-01-01 17:00:00,3,150,450,2023,1,1
19,19,19,2023-01-01 18:00:00,1,300,300,2023,1,1
20,20,20,2023-01-01 19:00:00,2,250,500,2023,1,1
21,21,21,2023-01-01 20:00:00,1,100,100,2023,1,1
22,22,22,2023-01-01 21:00:00,2,200,400,2023,1,1
23,23,23,2023-01-01 22:00:00,3,150,450,2023,1,1
24,24,24,2023-01-01 23:00:00,1,300,300,2023,1,1
25,25,25,2023-01-02 00:00:00,2,250,500,2023,1,1
26,26,26,2023-01-02 01:00:00,1,100,100,2023,1,1
27,27,27,2023-01-02 02:00:00,2,200,400,2023,1,1
28,28,28,2023-01-02 03:00:00,3,150,450,2023,1,1
29,29,29,2023-01-02 04:00:00,1,300,300,2023,1,1
30,30,30,2023-01-02 05:00:00,2,250,500,2023,1,1
31,31,31,2023-01-02 06:00:00,1,100,100,2023,1,1
32,32,32,2023-01-02 07:00:00,2,200,400,2023,1,1
33,33,33,2023-01-02 08:00:00,3,150,450,2023,1,1
34,34,34,2023-01-02 09:00:00,1,300,300,2023,1,1
35,35,35,2023-01-02 10:00:00,2,250,500,2023,1,1
36,36,36,2023-01-02 11:00:00,1,100,100,2023,1,1
37,37,37,2023-01-02 12:00:00,2,200,400,2023,1,1
38,38,38,2023-01-02 13:00:00,3,150,450,2023,1,1
39,39,39,2023-01-02 14:00:00,1,300,300,2023,1,1
40,40,40,2023-01-02 15:00:00,2,250,500,2023,1,1
41,41,41,2023-01-02 16:00:00,1,100,100,2023,1,1
42,42,42,2023-01-02 17:00:00,2,200,400,2023,1,1
43,43,43,2023-01-02 18:00:00,3,150,450,2023,1,1
44,44,44,2023-01-02 19:00:00,1,300,300,2023,1,1
45,45,45,2023-01-02 20:00:00,2,250,500,2023,1,1
46,46,46,2023-01-02 21:00:00,1,100,100,2023,1,1
47,47,47,2023-01-02 22:00:00,2,200,400,2023,1,1
48,48,48,2023-01-02 23:00:00,3,150,450,2023,1,1
49,49,49,2023-01-03 00:00:00,1,300,300,2023,1,1
50,50,50,2023-01-03 01:00:00,2,250,500,2023,1,1
51,51,1,2023-01-03 02:00:00,1,100,100,2023,1,1
52,52,2,2023-01-03 03:00:00,2,200,400,2023,1,1
53,53,3,2023-01-03 04:00:00,3,150,450,2023,1,1
54,54,4,2023-01-03 05:00:00,1,300,300,2023,1,1
55,55,5,2023-01-03 06:00:00,2,250,500,2023,1,1
56,56,6,2023-01-03 07:00:00,1,100,100,2023,1,1
57,57,7,2023-01-03 08:00:00,2,200,400,2023,1,1
58,58,8,2023-01-03 09:00:00,3,150,450,2023,1,1
59,59,9,2023-01-03 10:00:00,1,300,300,2023,1,1
60,60,10,2023-01-03 11:00:00,2,250,500,2023,1,1
61,61,11,2023-01-03 12:00:00,1,100,100,2023,1,1
62,62,12,2023-01-03 13:00:00,2,200,400,2023,1,1
63,63,13,2023-01-03 14:00:00,3,150,450,2023,1,1
64,64,14,2023-01-03 15:00:00,1,300,300,2023,1,1
65,65,15,2023-01-03 16:00:00,2,250,500,2023,1,1
66,66,16,2023-01-03 17:00:00,1,100,100,2023,1,1
67,67,17,2023-01-03 18:00:00,2,200,400,2023,1,1
68,68,18,2023-01-03 19:00:00,3,150,450,2023,1,1
69,69,19,2023-01-03 20:00:00,1,300,300,2023,1,1
70,70,20,2023-01-03 21:00:00,2,250,500,2023,1,1
71,71,21,2023-01-03 22:00:00,1,100,100,2023,1,1
72,72,22,2023-01-03 23:00:00,2,200,400,2023,1,1
73,73,23,2023-01-04 00:00:00,3,150,450,2023,1,1
74,74,24,2023-01-04 01:00:00,1,300,300,2023,1,1
75,75,25,2023-01-04 02:00:00,2,250,500,2023,1,1
76,76,26,2023-01-04 03:00:00,1,100,100,2023,1,1
77,77,27,2023-01-04 04:00:00,2,200,400,2023,1,1
78,78,28,2023-01-04 05:00:00,3,150,450,2023,1,1
79,79,29,2023-01-04 06:00:00,1,300,300,2023,1,1
80,80,30,2023-01-04 07:00:00,2,250,500,2023,1,1
81,81,31,2023-01-04 08:00:00,1,100,100,2023,1,1
82,82,32,2023-01-04 09:00:00,2,200,400,2023,1,1
83,83,33,2023-01-04 10:00:00,3,150,450,2023,1,1
84,84,34,2023-01-04 11:00:00,1,300,300,2023,1,1
85,85,35,2023-01-04 12:00:00,2,250,500,2023,1,1
86,86,36,2023-01-04 13:00:00,1,100,100,2023,1,1
87,87,37,2023-01-04 14:00:00,2,200,400,2023,1,1
88,88,38,2023-01-04 15:00:00,3,150,450,2023,1,1
89,89,39,2023-01-04 16:00:00,1,300,300,2023,1,1
90,90,40,2023-01-04 17:00:00,2,250,500,2023,1,1
91,91,41,2023-01-04 18:00:00,1,100,100,2023,1,1
92,92,42,2023-01-04 19:00:00,2,200,400,2023,1,1
93,93,43,2023-01-04 20:00:00,3,150,450,2023,1,1
94,94,44,2023-01-04 21:00:00,1,300,300,2023,1,1
95,95,45,2023-01-04 22:00:00,2,250,500,2023,1,1
96,96,46,2023-01-04 23:00:00,1,100,100,2023,1,1
97,97,47,2023-01-05 00:00:00,2,200,400,2023,1,1
98,98,48,2023-01-05 01:00:00,3,150,450,2023,1,1
99,99,49,2023-01-05 02:00:00,1,300,300,2023,1,1
100,100,50,2023-01-05 03:00:00,2,250,500,2023,1,1
101,1,1,2023-01-05 04:00:00,1,100,100,2023,1,1
102,2,2,2023-01-05 05:00:00,2,200,400,2023,1,1
103,3,3,2023-01-05 06:00:00,3,150,450,2023,1,1
104,4,4,2023-01-05 07:00:00,1,300,300,2023,1,1
105,5,5,2023-01-05 08:00:00,2,250,500,2023,1,1
106,6,6,2023-01-05 09:00:00,1,100,100,2023,1,1
107,7,7,2023-01-05 10:00:00,2,200,400,2023,1,1
