sale_id,customer_id,product_id,sale_date,quantity,amount
1,1,1,2023-01-01 00:00:00,1,100
2,2,2,2023-01-01 01:00:00,2,200
3,3,3,2023-01-01 02:00:00,3,150
4,4,4,2023-01-01 03:00:00,1,300
5,5,5,2023-01-01 04:00:00,2,250
6,6,6,2023-01-01 05:00:00,1,100
7,7,7,2023-01-01 06:00:00,2,200
8,8,8,2023-01-01 07:00:00,3,150
9,9,9,2023-01-01 08:00:00,1,300
10,10,10,2023-01-01 09:00:00,2,250
11,11,11,2023-01-01 10:00:00,1,100
12,12,12,2023-01-01 11:00:00,2,200
13,13,13,2023-01-01 12:00:00,3,150
14,14,14,2023-01-01 13:00:00,1,300
15,15,15,2023-01-01 14:00:00,2,250
16,16,16,2023-01-01 15:00:00,1,100
17,17,17,2023-01-01 16:00:00,2,200
18,18,18,2023-01-01 17:00:00,3,150
19,19,19,2023-01-01 18:00:00,1,300
20,20,20,2023-01-01 19:00:00,2,250
21,21,21,2023-01-01 20:00:00,1,100
22,22,22,2023-01-01 21:00:00,2,200
23,23,23,2023-01-01 22:00:00,3,150
24,24,24,2023-01-01 23:00:00,1,300
25,25,25,2023-01-02 00:00:00,2,250
26,26,26,2023-01-02 01:00:00,1,100
27,27,27,2023-01-02 02:00:00,2,200
28,28,28,2023-01-02 03:00:00,3,150
29,29,29,2023-01-02 04:00:00,1,300
30,30,30,2023-01-02 05:00:00,2,250
31,31,31,2023-01-02 06:00:00,1,100
32,32,32,2023-01-02 07:00:00,2,200
33,33,33,2023-01-02 08:00:00,3,150
34,34,34,2023-01-02 09:00:00,1,300
35,35,35,2023-01-02 10:00:00,2,250
36,36,36,2023-01-02 11:00:00,1,100
37,37,37,2023-01-02 12:00:00,2,200
38,38,38,2023-01-02 13:00:00,3,150
39,39,39,2023-01-02 14:00:00,1,300
40,40,40,2023-01-02 15:00:00,2,250
41,41,41,2023-01-02 16:00:00,1,100
42,42,42,2023-01-02 17:00:00,2,200
43,43,43,2023-01-02 18:00:00,3,150
44,44,44,2023-01-02 19:00:00,1,300
45,45,45,2023-01-02 20:00:00,2,250
46,46,46,2023-01-02 21:00:00,1,100
47,47,47,2023-01-02 22:00:00,2,200
48,48,48,2023-01-02 23:00:00,3,150
49,49,49,2023-01-03 00:00:00,1,300
50,50,50,2023-01-03 01:00:00,2,250
51,51,1,2023-01-03 02:00:00,1,100
52,52,2,2023-01-03 03:00:00,2,200
53,53,3,2023-01-03 04:00:00,3,150
54,54,4,2023-01-03 05:00:00,1,300
55,55,5,2023-01-03 06:00:00,2,250
56,56,6,2023-01-03 07:00:00,1,100
57,57,7,2023-01-03 08:00:00,2,200
58,58,8,2023-01-03 09:00:00,3,150
59,59,9,2023-01-03 10:00:00,1,300
60,60,10,2023-01-03 11:00:00,2,250
61,61,11,2023-01-03 12:00:00,1,100
62,62,12,2023-01-03 13:00:00,2,200
63,63,13,2023-01-03 14:00:00,3,150
64,64,14,2023-01-03 15:00:00,1,300
65,65,15,2023-01-03 16:00:00,2,250
66,66,16,2023-01-03 17:00:00,1,100
67,67,17,2023-01-03 18:00:00,2,200
68,68,18,2023-01-03 19:00:00,3,150
69,69,19,2023-01-03 20:00:00,1,300
70,70,20,2023-01-03 21:00:00,2,250
71,71,21,2023-01-03 22:00:00,1,100
72,72,22,2023-01-03 23:00:00,2,200
73,73,23,2023-01-04 00:00:00,3,150
74,74,24,2023-01-04 01:00:00,1,300
75,75,25,2023-01-04 02:00:00,2,250
76,76,26,2023-01-04 03:00:00,1,100
77,77,27,2023-01-04 04:00:00,2,200
78,78,28,2023-01-04 05:00:00,3,150
79,79,29,2023-01-04 06:00:00,1,300
80,80,30,2023-01-04 07:00:00,2,250
81,81,31,2023-01-04 08:00:00,1,100
