provincia,score_risco,nivel_risco,populacao_exposta,principal_exposicao
Maputo,37.79,Médio,125000,Ruido Ocupacional
Gaza,34.53,Médio,89000,Ruido Ocupacional
Inhambane,30.6,Médio,67000,Ruido Ocupacional
Sofala,35.44,Médio,95000,Ruido Ocupacional
Manica,33.34,Médio,78000,Ruido Ocupacional
Tete,35.89,Médio,82000,Ruido Ocupacional
Zambézia,32.11,Médio,105000,Ruido Ocupacional
Nampula,34.1,Médio,115000,Ruido Ocupacional
Cabo Delgado,32.7,Médio,92000,Ruido Ocupacional
Niassa,30.23,Médio,58000,Ruido Ocupacional
