ship_id,ship_type,capacity_ton,speed_knots,fuel_consumption_td,operating_cost_usd_d,origin_port,destination_port,distance_nm,travel_time_days,loading_time_days,unloading_time_days,total_time_days,fuel_cost_usd,port_cost_usd,total_cost_usd,revenue_usd,profit_usd,maintenance_due,utilization_rate,fuel_efficiency
SHIP_000,Graneleiro,21854.31,24.51,78.56,13979.88,Rio Grande,Manaus,890.05,36.32,1.31,1.12,38.75,1854522.95,44647.05,2440834.33,3271806.62,830972.29,False,0.8278109655320984,10577.61
SHIP_001,Graneleiro,7538.52,22.22,95.08,5011.68,Santos,Manaus,2980.53,134.14,2.23,2.22,138.6,8290320.34,10282.65,8995199.78,9977700.21,982500.43,False,0.8141485131528328,10332.95
SHIP_002,Granelheiro,11277.22,17.92,49.31,11841.05,Rio de Janeiro,Santos,2462.94,137.43,1.4,2.03,140.86,4404735.6,33696.58,6106333.63,6830423.68,724090.05,False,0.8381076385057229,14684.76
SHIP_003,Graneleiro,25272.47,15.13,95.38,13449.32,Paranaguá,Rio Grande,1463.54,96.71,1.03,1.46,99.21,5995744.17,19641.02,7349663.83,10093333.08,2743669.25,False,0.7733119185389445,28766.83
SHIP_004,Petroleiro,6547.48,24.09,40.7,14937.83,Santos,Itajaí,1279.28,53.1,2.04,2.09,57.23,1404764.83,17394.18,2277060.1,3387887.1,1110827.0,False,0.757413946679418,27291.44
SHIP_005,Granelheiro,22781.76,24.27,78.18,9898.11,Rio Grande,Fortaleza,1926.11,79.37,2.04,2.92,84.34,4033584.33,43781.35,4912142.02,6871733.23,1959591.21,False,0.8053629079823468,25064.56
SHIP_006,Container,48436.49,21.07,42.08,9444.1,Rio de Janeiro,Paranaguá,913.17,43.34,1.03,1.85,46.22,1185406.19,25795.26,1647680.16,2005878.03,358197.87,False,0.885411499959192,8512.32
SHIP_007,Container,36808.58,22.29,81.7,6110.67,Itajaí,Paranaguá,1396.16,62.64,1.23,2.73,66.59,3326359.13,34931.93,3768225.59,4643807.51,875581.92,False,0.7297863882693932,10716.82
SHIP_008,Petroleiro,35097.86,21.66,67.3,9120.83,Manaus,Rio de Janeiro,1903.11,87.87,1.77,2.94,92.58,3843914.95,43956.55,4732234.26,6571614.96,1839380.69,False,0.7728284587275367,27329.51
SHIP_009,Petroleiro,28522.98,19.28,22.03,6618.37,Rio Grande,Rio de Janeiro,578.57,30.02,2.27,1.63,33.92,429884.66,30342.83,684707.09,1001744.68,317037.59,False,0.811546082747236,14388.87
SHIP_010,Container,29292.85,17.03,95.43,13982.98,Recife,Paranaguá,2236.96,131.35,2.76,2.25,136.36,8147397.19,21825.35,10075929.93,11508704.03,1432774.1,False,0.88128522691469,15014.14
SHIP_011,Gaseiro,13395.65,23.93,63.15,17111.6,Rio Grande,Santos,2740.23,114.53,1.64,1.22,117.39,4701027.28,19117.41,6728830.9,8551288.43,1822457.52,False,0.9012557041397202,28860.38
SHIP_012,Graneleiro,5312.85,20.11,53.39,8331.62,Manaus,Fortaleza,799.66,39.77,1.68,2.89,44.33,1380214.04,22928.12,1772487.02,2317555.58,545068.56,False,0.7272703608327529,10208.64
SHIP_013,Graneleiro,48730.19,24.62,40.14,12458.73,Paranaguá,Rio de Janeiro,1252.2,50.85,1.57,1.07,53.5,1326856.54,34382.57,2027720.4,2638209.44,610489.04,False,0.6115677565151919,15208.02
SHIP_014,Container,20528.21,21.34,74.46,12964.02,Fortaleza,Paranaguá,1619.46,75.88,2.11,2.19,80.17,3672141.05,13234.13,4724662.48,5895725.74,1171063.26,False,0.8548757220141507,15728.17
SHIP_015,Gaseiro,21550.24,21.32,70.68,13036.62,Fortaleza,Paranaguá,725.72,34.03,2.67,1.64,38.35,1563675.92,17460.74,2081050.5,2323097.6,242047.1,False,0.7140856168206596,3424.43
SHIP_016,Gaseiro,14910.85,22.11,84.76,10229.99,Paranaguá,Rio Grande,740.44,33.49,2.88,1.8,38.16,1844918.99,30710.05,2266035.19,3251950.94,985915.75,False,0.7193732228675904,11631.84
SHIP_017,Granelheiro,10106.31,24.25,90.19,8869.12,Manaus,Salvador,2149.96,88.67,2.63,2.11,93.41,5197943.39,31186.02,6057631.55,7249415.54,1191783.98,False,0.9378967729510777,13214.57
SHIP_018,Petroleiro,30123.21,23.83,35.1,9183.07,Rio de Janeiro,Santos,2250.89,94.47,2.69,2.71,99.88,2155139.6,26180.33,3098494.93,4508644.89,1410149.95,False,0.9274722479773316,40179.14
SHIP_019,Petroleiro,40340.33,21.69,66.45,10584.24,Manaus,Salvador,2850.33,131.41,2.95,1.57,135.93,5676479.22,22214.55,7137390.87,9237536.03,2100145.16,False,0.8281864408259101,31602.55
SHIP_020,Gaseiro,15092.12,22.12,38.98,9881.0,Salvador,Fortaleza,2366.23,106.96,2.3,2.7,111.96,2710133.92,36304.52,3852728.55,5113816.91,1261088.37,False,0.778084926893566,32352.25
SHIP_021,Gaseiro,33634.97,17.5,67.19,19683.39,Manaus,Rio Grande,1716.86,98.08,2.81,1.87,102.76,4283481.77,24003.14,6330172.5,8596635.98,2266463.48,False,0.902458647775166,33732.32
SHIP_022,Container,15358.34,19.99,65.76,16528.31,Belém,Rio de Janeiro,609.01,30.46,2.99,1.94,35.39,1302106.75,21182.41,1908254.95,2773453.18,865198.23,False,0.9249114969057038,13156.84
SHIP_023,Granelheiro,24268.29,24.67,97.09,17795.14,Rio Grande,Rio de Janeiro,1236.12,50.11,1.77,2.7,54.59,3162562.36,22676.88,4156600.81,4854066.37,697465.56,False,0.7381420133833152,7183.73
SHIP_024,Graneleiro,42989.59,24.3,25.63,8133.78,Fortaleza,Rio Grande,2177.86,89.62,1.72,1.51,92.85,1493269.35,21811.62,2270292.91,2790236.08,519943.18,False,0.64781746600471,20283.9
SHIP_025,Gaseiro,36900.99,20.53,43.72,11296.71,Manaus,Rio de Janeiro,1140.52,55.56,2.22,1.16,58.94,1578892.66,10207.39,2254982.34,3046836.89,791854.56,False,0.8274873757722178,18111.62
SHIP_026,Petroleiro,36588.51,22.96,91.2,10069.93,Fortaleza,Itajaí,1438.96,62.68,1.19,2.16,66.02,3715570.42,11437.69,4391850.33,5648970.09,1257119.76,False,0.9436443109086858,13784.14
SHIP_027,Granelheiro,42752.01,23.6,40.02,5582.52,Belém,Fortaleza,1258.16,53.3,2.07,1.65,57.03,1386571.75,43114.76,1748059.66,2112734.91,364675.25,True,0.7600428065648049,9112.3
SHIP_028,Gaseiro,42891.04,16.94,52.91,15492.68,Salvador,Santos,845.88,49.92,1.27,2.94,54.13,1716866.79,38583.8,2594029.41,2896044.49,302015.08,False,0.7517322581532597,5708.27
SHIP_029,Container,38481.92,17.51,34.75,6213.09,Rio de Janeiro,Itajaí,1570.79,89.72,2.38,1.12,93.21,2026246.92,46608.55,2651968.58,3386407.12,734438.54,False,0.7922293326471421,21136.93
SHIP_030,Gaseiro,37156.82,21.6,42.39,19322.98,Manaus,Salvador,2344.74,108.54,2.11,2.22,112.88,2991071.03,26784.0,5198938.53,6234007.66,1035069.13,False,0.6555262566748719,24415.05
SHIP_031,Container,10407.41,18.42,27.34,6412.35,Belém,Manaus,1278.53,69.41,2.96,1.35,73.72,1233743.84,10686.44,1717176.49,2413226.71,696050.22,False,0.765715119773198,25455.39
SHIP_032,Gaseiro,12794.08,19.34,51.88,14237.75,Santos,Salvador,2087.73,107.96,1.09,1.75,110.8,3640562.82,35034.4,5253099.34,6835619.18,1582519.83,True,0.7887821069400218,30503.24
